Date,Inflation_Rate,CPI_MoM,WPI_MoM,SPI_MoM,CPI_YoY,WPI_YoY,SPI_YoY
2008-07-31,nan,nan,nan,nan,nan,nan,nan
2008-08-31,nan,1.753,1.904,2.888,nan,nan,nan
2008-09-30,nan,0.796,0.488,0.372,nan,nan,nan
2008-10-31,nan,1.389,-1.078,0.871,nan,nan,nan
2008-11-30,nan,-0.317,-3.236,0.882,nan,nan,nan
2008-12-31,nan,-0.24,-0.318,-1.593,nan,nan,nan
2009-01-31,nan,0.241,-0.043,-1.76,nan,nan,nan
2009-02-28,nan,1.374,0.949,1.486,nan,nan,nan
2009-03-31,nan,0.364,0.444,0.981,nan,nan,nan
2009-04-30,nan,1.004,1.685,0.471,nan,nan,nan
2009-05-31,nan,-0.067,1.314,0.711,nan,nan,nan
2009-06-30,nan,0.87,1.231,1.314,nan,nan,nan
2009-07-31,8.999,1.509,1.754,2.9,8.999,5.09,9.829
2009-08-31,9.062,1.813,2.47,1.749,9.062,5.673,8.614
2009-09-30,8.383,0.168,0.814,0.958,8.383,6.015,9.247
2009-10-31,7.541,0.601,0.931,0.526,7.541,8.169,8.874
2009-11-30,9.308,1.321,1.83,1.661,9.308,13.833,9.714
2009-12-31,8.771,-0.731,0.181,-0.112,8.771,14.403,11.366
2010-01-31,11.317,2.588,3.257,3.698,11.317,18.179,17.554
2010-02-28,10.224,0.378,0.942,0.726,10.224,18.171,16.673
2010-03-31,11.191,1.245,1.512,1.311,11.191,19.426,17.055
2010-04-30,12.099,1.829,1.952,1.136,12.099,19.741,17.829
2010-05-31,12.324,0.134,1.146,0.699,12.324,19.542,17.815
2010-06-30,11.762,0.365,0.166,0.241,11.762,18.285,16.567
2010-07-31,12.38,2.069,1.662,2.845,12.38,18.178,16.505
2010-08-31,12.793,2.187,1.907,2.193,12.793,17.529,17.013
2010-09-30,14.893,2.034,1.698,3.581,14.893,18.559,20.054
2010-10-31,15.33,0.983,1.742,1.243,15.33,19.511,20.909
2010-11-30,14.957,0.994,2.535,2.796,14.957,20.338,22.259
2010-12-31,15.455,-0.301,1.971,-0.621,15.455,22.488,21.636
2011-01-31,13.908,1.213,1.908,0.257,13.908,20.888,17.599
2011-02-28,12.849,-0.555,1.963,-1.177,12.849,22.111,15.378
2011-03-31,13.025,1.403,3.305,1.103,13.025,24.268,15.14
2011-04-30,12.545,1.397,2.448,0.617,12.545,24.872,14.549
2011-05-31,12.647,0.225,-0.957,0.082,12.647,22.276,13.847
2011-06-30,13.313,0.958,0.571,0.069,13.313,22.77,13.652
2011-07-31,12.426,1.27,-0.405,2,12.426,20.274,12.719
2011-08-31,11.555,1.396,0.553,1.407,11.555,18.676,11.852
2011-09-30,10.461,1.033,0.247,0.667,10.461,16.983,8.705
2011-10-31,10.966,1.445,0.369,0.817,10.966,15.405,8.248
2011-11-30,10.189,0.286,-0.53,0.612,10.189,11.956,5.949
2011-12-31,9.746,-0.701,-1.334,-1.403,9.746,8.327,5.115
2012-01-31,10.097,1.536,2.261,1.834,10.097,8.703,6.768
2012-02-29,11.045,0.301,0.556,0.213,11.045,7.203,8.27
2012-03-31,10.792,1.171,0.669,1.209,10.792,4.466,8.385
2012-04-30,11.266,1.831,1.8,1.792,11.266,3.806,9.651
2012-05-31,12.291,1.149,2.146,0.462,12.291,7.058,10.067
2012-06-30,11.265,0.035,-0.048,1.763,11.265,6.4,11.931
2012-07-31,9.598,-0.247,0.359,-2.211,9.598,7.215,7.31
2012-08-31,9.058,0.896,1.021,1.353,9.058,7.714,7.253
2012-09-30,8.795,0.789,0.349,0.933,8.795,7.824,7.536
2012-10-31,7.656,0.383,0.114,-0.473,7.656,7.55,6.16
2012-11-30,6.927,-0.393,-0.373,0.016,6.927,7.719,5.531
2012-12-31,7.932,0.232,0.427,0.32,7.932,9.641,7.375
2013-01-31,8.07,1.666,1.249,1.564,8.07,8.556,7.091
2013-02-28,7.383,-0.336,0.343,-0.052,7.383,8.326,6.807
2013-03-31,6.57,0.405,0.26,0.639,6.57,7.887,6.206
